min1800	t2m	rh	padavine	veter_hitrost
111509550	0.7	55	0.0	1.4
111509580	0.4	56	0.0	1.4
111509610	-0.2	59	0.0	1.2
111509640	-0.1	58	0.0	1.1
111509670	-0.4	61	0.0	0.9
111509700	-0.5	62	0.0	1.0
111509730	-1.0	65	0.0	0.5
111509760	-1.1	67	0.0	0.8
111509790	-1.0	68	0.0	0.7
111509820	-0.5	67	0.0	0.5
111509850	1.0	60	0.0	0.7
111509880	2.3	53	0.0	0.7
111509910	3.5	48	0.0	1.1
111509940	4.5	46	0.0	0.8
111509970	4.9	45	0.0	0.9
111510000	5.1	45	0.0	0.8
111510030	5.5	45	0.0	0.5
111510060	5.0	47	0.0	0.7
111510090	5.1	47	0.0	0.8
111510120	5.5	46	0.0	0.7
111510150	5.8	45	0.0	0.5
111510180	5.7	46	0.0	0.6
111510210	5.8	45	0.0	0.5
111510240	5.6	46	0.0	0.8
111510270	4.8	51	0.0	0.3
111510300	4.3	55	0.0	0.6
111510330	4.1	55	0.0	1.0
111510360	4.4	54	0.0	1.8
111510390	4.9	58	0.0	3.2
111510420	5.2	61	0.0	3.1
111510450	4.4	58	0.0	0.9
111510480	3.8	60	0.0	0.7
111510510	3.9	66	0.0	1.4
111510540	3.1	68	0.0	0.9
111510570	2.1	70	0.0	1.3
111510600	0.9	70	0.0	1.3
111510630	0.6	72	0.0	0.6
111510660	0.2	75	0.0	0.8
111510690	-0.1	77	0.0	0.9
111510720	-0.4	78	0.0	0.9
111510750	-0.5	79	0.0	0.9
111510780	-0.6	80	0.0	1.4
111510810	-0.4	77	0.0	1.5
111510840	-0.2	75	0.0	0.8
111510870	-0.3	76	0.0	1.3
111510900	-0.1	76	0.0	1.9
111510930	-1.2	80	0.0	1.5
111510960	-1.3	82	0.0	0.5
111510990	-1.3	81	0.0	0.8
111511020	-1.4	82	0.0	0.8
111511050	-1.5	82	0.0	1.1
111511080	-1.7	83	0.0	0.8
111511110	-2.0	85	0.0	0.5
111511140	-2.2	86	0.0	0.6
111511170	-2.3	86	0.0	0.6
111511200	-2.4	87	0.0	0.9
111511230	-2.6	87	0.0	0.8
111511260	-2.5	87	0.0	0.6
111511290	-1.2	83	0.0	0.6
111511320	0.1	77	0.0	0.9
111511350	1.4	72	0.0	1.2
111511380	2.1	70	0.0	1.2
111511410	3.2	66	0.0	1.2
111511440	3.7	65	0.0	0.8
111511470	5.3	59	0.0	1.2
111511500	5.8	56	0.0	1.6
111511530	6.0	56	0.0	0.9
111511560	6.9	52	0.0	1.4
111511590	7.8	46	0.0	1.4
111511620	8.3	43	0.0	2.0
111511650	8.9	41	0.0	1.6
111511680	8.6	41	0.0	1.3
111511710	7.5	50	0.0	0.9
111511740	6.5	56	0.0	0.8
111511770	5.7	54	0.0	0.9
111511800	5.1	55	0.0	0.7
111511830	4.7	57	0.0	0.8
111511860	4.5	62	0.0	0.7
111511890	4.3	64	0.0	0.9
111511920	3.6	67	0.0	0.2
111511950	2.9	71	0.0	0.5
111511980	2.7	72	0.0	1.1
111512010	2.8	73	0.0	1.1
111512040	2.7	72	0.0	0.7
111512070	2.4	73	0.0	0.9
111512100	2.1	74	0.0	0.6
111512130	1.4	78	0.0	0.3
111512160	1.2	80	0.0	1.0
111512190	0.9	81	0.0	0.4
111512220	0.2	83	0.0	0.5
111512250	0.0	85	0.0	0.3
111512280	-0.2	86	0.0	0.7
111512310	-0.4	87	0.0	0.4
111512340	-0.7	87	0.0	0.8
111512370	-0.9	88	0.0	0.7
111512400	-1.1	88	0.0	0.5
111512430	-1.3	89	0.0	1.0
111512460	-1.4	88	0.0	0.7
111512490	-1.8	89	0.0	0.9
111512520	-1.7	90	0.0	0.7
111512550	-1.8	90	0.0	0.5
111512580	-1.8	91	0.0	0.7
111512610	-1.8	91	0.0	0.6
111512640	-1.5	90	0.0	0.7
111512670	-1.5	88	0.0	0.7
111512700	-1.5	88	0.0	0.7
111512730	-0.6	86	0.0	0.9
111512760	0.5	81	0.0	0.9
111512790	1.8	73	0.0	1.2
111512820	2.6	65	0.0	1.1
111512850	3.9	61	0.0	0.9
111512880	4.8	59	0.0	1.1
111512910	6.0	54	0.0	0.7
111512940	7.4	49	0.0	0.9
111512970	8.2	46	0.0	0.9
111513000	8.6	43	0.0	1.1
111513030	9.2	37	0.0	1.6
111513060	9.3	34	0.0	1.4
111513090	10.0	33	0.0	0.8
111513120	9.5	33	0.0	0.8
111513150	7.9	36	0.0	0.8
111513180	6.3	41	0.0	0.5
111513210	5.4	44	0.0	1.5
111513240	5.0	45	0.0	1.0
111513270	4.1	50	0.0	1.0
111513300	3.9	53	0.0	0.5
111513330	3.7	55	0.0	0.5
111513360	4.0	53	0.0	1.1
111513390	4.0	53	0.0	0.5
111513420	3.9	55	0.0	1.0
111513450	3.7	56	0.0	1.0
111513480	3.0	60	0.0	0.3
111513510	2.7	61	0.0	0.5
111513540	2.6	60	0.0	0.3
111513570	2.7	60	0.0	0.3
111513600	2.5	62	0.0	0.5
111513630	2.7	64	0.0	1.5
111513660	2.7	61	0.0	0.9
111513690	2.4	61	0.0	0.7
111513720	1.8	64	0.0	0.7
111513750	1.0	68	0.0	0.8
111513780	0.4	70	0.0	0.7
111513810	-0.1	73	0.0	0.7
111513840	-0.5	77	0.0	0.6
111513870	-0.8	81	0.0	0.5
111513900	-0.7	80	0.0	0.8
111513930	-0.8	80	0.0	0.8
111513960	-0.9	80	0.0	0.7
111513990	-1.0	81	0.0	0.9
111514020	-1.3	82	0.0	0.6
111514050	-1.5	84	0.0	0.9
111514080	-1.6	86	0.0	0.6
111514110	-1.4	86	0.0	1.4
111514140	-1.2	84	0.0	1.2
111514170	-0.5	81	0.0	0.9
111514200	1.0	73	0.0	0.8
111514230	2.4	66	0.0	1.0
111514260	3.7	62	0.0	1.2
111514290	4.4	58	0.0	1.6
111514320	5.4	51	0.0	2.3
111514350	6.1	51	0.0	1.4
111514380	7.1	46	0.0	1.5
111514410	7.7	44	0.0	1.5
111514440	8.6	41	0.0	1.9
111514470	9.2	42	0.0	2.3
111514500	9.5	42	0.0	2.2
111514530	10.0	34	0.0	4.7
111514560	10.1	31	0.0	4.3
111514590	9.5	31	0.0	2.8
111514620	8.4	33	0.0	1.8
111514650	7.3	45	0.0	1.7
111514680	6.4	52	0.0	1.5
111514710	5.6	55	0.0	1.1
111514740	4.5	60	0.0	1.1
111514770	3.8	64	0.0	1.3
111514800	3.3	66	0.0	1.2
111514830	3.2	65	0.0	1.1
111514860	2.2	69	0.0	0.6
111514890	1.4	72	0.0	0.6
111514920	1.0	74	0.0	0.8
111514950	0.7	73	0.0	0.3
111514980	0.0	76	0.0	0.5
111515010	0.0	77	0.0	0.5
111515040	-0.3	78	0.0	0.8
111515070	-0.6	79	0.0	0.5
111515100	-0.9	79	0.0	0.4
